text,date,original,genre,related,PII,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report,actionable_haiti,processed_text
People are saying that alot of artists died. I think me and other people would like to know the names of those artists that left us,20-01-2010,"Anpil moun ap di gen plisy atis ki mouri, m panse anpil lot moun tankou mwen menm ta renmen konnen non atis sa yo ki touche a.",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,people are saying that alot of artists died think me and other people would like to know the names of those artists that left us
HELP FOR THE CENTER OF FLORE around 400 demunis in DAMIEN to unibank in the yard of Pam pak,20-01-2010,ED POU CENTRE FLORE. ENVIRON 400 DEMUNIS. DAMIEN. DO UNIBANK. LAKOU PAM PAK.,direct,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,help for the center of flore around demunis in damien to unibank in the yard of pam pak
We are 350 survivors in kenskof in guibert 67. We are starving.,20-01-2010,Digicel tanpri m ap mande ou aide nan nenpot fason pou kenskof guibert 67 nou 350 ki sinistre tanpri se guibert 67 nan kenskof tanpri n ap mouri grangou,direct,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are survivors in kenskof in guibert we are starving 
"Need food, water and medicine",20-01-2010,"Nous avons besoin des tentes, de la nourriture, de l eau et des medicaments parce que nous sommes vraiment  l tat d traumatisme. 36, Tabarre Rue sol solon.",direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,need food water and medicine
HELP ME PLEASE GOD WILL REPAY YOU THANK YOU. ADDRESS: CYBER CAFE MS HAITI IN THE YARD OF RUE NOTRE DAME LAKKOUP #156 ALL THE INSIDE,20-01-2010,edem souple. Bondye a beni nou mesi. adr sib kafe a se mas net pdep haiti lakoup ri notredam lakoup nimewo 156 alentery.,direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,help me please god will repay you thank you address cyber cafe ms haiti in the yard of rue notre dame lakkoup all the inside
I am not in town. I am outside in a zone called Dezam Komin Veret in the artibonite. We have been hit this morning by an earthquake and the house has crumbled. Please help.,20-01-2010,MWEN PA LAVIL MWEN ANDEYO NAN YON ZON KI RELE DEZAM KOMIN VERET NAN LATIBONIT NOU FRAPE MATEN AN PA YON TRANBLEMAN KAY KRAZE,direct,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0, am not in town am outside in zone called dezam komin veret in the artibonite we have been hit this morning by an earthquake and the house has crumbled please help 
CYBER CAFE THAT IS FUNCTIONING EXPLOSION,20-01-2010,Ciber cafe ki an fonksyon explosion.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyber cafe that is functioning explosion
Emergency aid needed at the Centre Flore for Damien on the grounds Pampak of the unibank,20-01-2010,AIDE EN URGENCE POUR CENTRE FLORE POUMAR. DAMIEN DE DO UNIBANK. LAKOU PAMPAK. MERCI,direct,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,emergency aid needed at the centre flore for damien on the grounds pampak of the unibank
"We need potable water, medicines, food, lamp oil, and security. Please call to get location.",20-01-2010,"cots, bezyen piryoriti pou nou se dlo potab, medikaman, lamanjay, kaz pou nou met nan lanp, sekirite",direct,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we need potable water medicines food lamp oil and security please call to get location 
i need a litle credit on my count,20-01-2010,Mwen bezwen yon ti kredi sou kont mwen,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, need litle credit on my count
"Good morning, we are in Pelerin. We need some food, some water and some hygienic supplies. Please come, you can't let us perish, please",20-01-2010,boujou nou nan perleren nou bezwen yon ti mange yon ti dlo ak kelke ekipman igenik tanpri vini we nou pa kite nou peri pase we nou svp,direct,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,good morning we are in pelerin we need some food some water and some hygienic supplies please come you can let us perish please
we are dyin of thirst in MARTISAN 25BIS itsmedicine without frontier they brought food an water for us..,20-01-2010,"Nap mouri swaf nan matisan 25bis la, se dey do medsen san fronty yo. pote manje ak dlo pou nou.",direct,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are dyin of thirst in martisan bis itsmedicine without frontier they brought food an water for us 
Need help as our houses have been destroyed at Delmas. We are now staying at Thomassin 42,20-01-2010,Nous avons besoin daide parceque nos maisons son detruite a delmas. maintenantnous somme dans un abrit a thomassin 42. Merci on vous a tant,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,need help as our houses have been destroyed at delmas we are now staying at thomassin 
PEWODEN FIFTH SECTION OF THE DEPARTEMEN OF L'ARTIBONITE IS LETTIN U KNOW TODAY THE PLAN WE HAVE FOR THOSE INJURED IN THE EARTQUAKE. LIKE MANY OF THOSE IN P.,20-01-2010,Pewoden 5em Seksyon Depatman Atibonit ap fe nou konnen nan plan dijans nou geyen pou moun ki sinistre anba tranbkeman de ta a. Gen anpil moun ki te nan p,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,pewoden fifth section of the departemen of artibonite is lettin know today the plan we have for those injured in the eartquake like many of those in 
"People that went back to live, who left us empty handed. We're asking, the people who are concerned to bring help to almost 2000 people living in difficult situations right now",20-01-2010,otoprens ki retounen pou yo vini viv ki lage de men vid. nou mande sekt ki konsne yo pou pote ed bay pase2000 moun kap viv nan eta difisil. ak jan yo k,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,people that went back to live who left us empty handed we are asking the people who are concerned to bring help to almost people living in difficult situations right now
pleas we are in Renaissance village on the new road. we are dying of hunger pleas help TN New road is the road built by the army that links city solei directly to the national 1 highway. there are many old sugarcane worker villages turned into slums or poor residential neighbor hods in this area,20-01-2010,Sil voupl nou nan vilaj renesans rout nf grangou ap touye ede nou silvouple,direct,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pleas we are in renaissance village on the new road we are dying of hunger pleas help tn new road is the road built by the army that links city solei directly to the national highway there are many old sugarcane worker villages turned into slums or poor residential neighbor hods in this area
After the earthquake i cannot call any body. even when i ihave 10 signal.,20-01-2010,"Apres le saisme, je ne appeler personne meme  10.",direct,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,after the earthquake cannot call any body even when ihave signal 
"after the earthquake, i canot talk to nobody even at 10",20-01-2010,"Apres le saisme, je ne peux appeler personne meme  10.",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,after the earthquake canot talk to nobody even at 
There's only one cybercafe in the town called MOLE,20-01-2010,Excuse moi dans la ville du MOLE nous avons une seule ciber cest r,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,there only one cybercafe in the town called mole
i salut you for all you are doing to help us now. this is actually for the adress of a ciper cafe that is working. i will send it later. TN we had several messages about this yesterday. i suspect this is guy is advertising that he is up and running.,20-01-2010,"MWEN SALIE NOU ANPIL POU BON TRAY NAP F AN SEMOMAN DE GRAN KRIZ KI FRAPE PEY. I A AKTUELMAN. POU ADRES CYBER CAFE KI AN FONKSION, SE PITA MAP VOYE-L BA",direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, salut you for all you are doing to help us now this is actually for the adress of ciper cafe that is working will send it later tn we had several messages about this yesterday suspect this is guy is advertising that he is up and running 
Please We need help at the Altidor Center at Thomassin 32.,20-01-2010,Aide pou centre altidor thomassin 32 ru celin pou 300,direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,please we need help at the altidor center at thomassin 
the people of monseigneur Giyou between slelak street are dying of hunger. TN monseigneur Giyou is a residential neighborhood near the st Therese school in downtown,20-01-2010,Mesanmi moun monsenye giyou prolonge antre ru sneLak dekayt ap mouri grangou,direct,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the people of monseigneur giyou between slelak street are dying of hunger tn monseigneur giyou is residential neighborhood near the st therese school in downtown
The address is new life bo kay in St Fille,20-01-2010,ADRES LA SE NEW LIFE BO KAY ST FLE,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the address is new life bo kay in st fille
NET ONE WIT LATORTUE IS FUNCTIONING IN THE ZONE OF DEKAWO. FREDO NET AP F,20-01-2010,"NET ONE AK LATORTUE NT AP FONKSYONE NAN ZON DEKAWO, FREDO NET AP F",direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,net one wit latortue is functioning in the zone of dekawo fredo net ap 
The prices have doubled for food in Mole Saint Nicolas. A cup of Corn is 45 Gdes now.,20-01-2010,iv DOUBL PRI TOUT MACHANDISE MEM YON GOD MAYI AP VANN 45G SE MR EROLD DEPUIS MOLE-SAINT-NICOLAS,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the prices have doubled for food in mole saint nicolas cup of corn is gdes now 
We don't have working cyber in our region,20-01-2010,Nou pa gen cyber nan zone ki en fonktyon.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,we don have working cyber in our region
An Association named J. B. D. M ( Jeune Bon Repos pour le Developpement Mole St Nicolas ) asked for food for the people of Saint Nicolas. .. .. . because cost 50 dolars. Translator's note : That's too much!,20-01-2010,A J B D M Association jeune bon repos pour le developement mole st nicolas nou mande pou yo pote manje pou moun mol sen nikola yo mamit diri vann 5o dola,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,an association named jeune bon repos pour le developpement mole st nicolas asked for food for the people of saint nicolas because cost dolars translator note that too much 
"The people cannot find food, hunger is killing them, please send the police so the street vendors can lower the price of the food.",20-01-2010,moun yo paka jwenn manje lafin ap touye yo voye lapolis pou fer machand yo desann manje yo sou mache a,direct,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,the people cannot find food hunger is killing them please send the police so the street vendors can lower the price of the food 
there's a problem with the signal which blocks transactions,20-01-2010,l y a un probleme de signal qui empchent transactions,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,there problem with the signal which blocks transactions
GOOD DAY DIGICEL GIVE ME A CHANCE SO I CA CALL SOMEONE PLEASE,20-01-2010,Bonjou digicel ban mwen yon chanpce pou mwen rele yon moun tanpri.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good day digicel give me chance so ca call someone please
GOOD DAY! SWEETHEART I LOVE YOU FOREVER BABY,20-01-2010,Bonne journee ! CHERI JE TAIME POUR TOUJOUR BABY,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good day sweetheart love you forever baby
"The association of the youth in Bon Repos for the Development of Mole St Nicolas are the market trying to find gasoline, the gallon for  50",20-01-2010,A J B D M Association des jeunes bon repos pour le developement Mole st Nicolas nou toujou nan mache yo nap machande kote nou jwenn galon gazolin vann 50,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the association of the youth in bon repos for the development of mole st nicolas are the market trying to find gasoline the gallon for 
"is there a working hospital at present that is taking care of wounded people? people with Gynecological issues, fever or any sickness?",20-01-2010,"Eske gen lopital ki ap fonktion nan moman sa ki ap okipe moun ki pa blese?tankou moun ki gen problem ginekologik, lafiv oubyen nenpt lot maladi?",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,is there working hospital at present that is taking care of wounded people people with gynecological issues fever or any sickness 
"Good evening, the organizations that are helping Haiti, it is not only the capital that needs help. In the South, there a many people who left Port-au-Prince with nothing, they are hungry, please help!!!",20-01-2010,BONSWA OGANISM KAP EDE HAITI YO SE PA SELMAN KAPITAL LA KI BEZWEN ED ZON SID PEYI A GEN ANPIL MOUN KI SOT PP DE MEN VID YO GRANGOU TOU PANSE A YO SOUPLE,direct,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,good evening the organizations that are helping haiti it is not only the capital that needs help in the south there many people who left port au prince with nothing they are hungry please help 
GOOD DAY DIGICEL I DONT KNOW UR WEB ADDRESS,20-01-2010,Bonjou digicel mwen pa konnen adres cyber mesi :,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good day digicel dont know ur web address
HELLO MOM CALL ME BECAUSE I CANNOT GET THROUGH..,20-01-2010,ALO manman rele m paske mwen paka rantre. se P Auline cassus,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hello mom call me because cannot get through 
BRA BALANSE PLEASE THINK ABOUT ME THANK YOU IN ADVANCE,20-01-2010,bra balanse tanpri panse pou mwen merci davans,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra balanse please think about me thank you in advance
"This is a spam message about receiving money and verifying the account number, etc.",20-01-2010,vous avez reu 1OOOGdes par digicel verifi votre contre,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,this is spam message about receiving money and verifying the account number etc 
we have 8 days without food carfour debwos in the yard of the Acra no has gotten to us please help we ask that someone gets to us..,20-01-2010,"Nou gen 8 jou nan abri pwovizwa kafou debwos sou terin Acra, pa gen mou ki pote sekou pou nou. Nou mande tout moun ka bay aide yo pou yo ka pote kichoy pou",direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,we have days without food carfour debwos in the yard of the acra no has gotten to us please help we ask that someone gets to us 
I CAN'T GET THROUGH ANY OTHER PHONES BUT DIGICEL,20-01-2010,Digicel map fe apel mwen paka antre sou lot telefon,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, can get through any other phones but digicel
These people there are problem with the food for the people,20-01-2010,"moun sa yo, mwen pwoblem manje pou moun yo,",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,these people there are problem with the food for the people
ALL THE CYBER CAFE THAT ARE NEAR ME ARE NO OPEN BECAUSE THEIRS NO POWER FOR THE BATTERY TO CHARGE ONE HOPE THAT I HAVE IS. ..,20-01-2010,Tout Cyber cafe ki pi prem yo pa an fonksyon paske pa gen kouran gen ennvt men pa gen kouran pou batri yo chaje. Yon sel mwayen e espwa mwen genyen se,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all the cyber cafe that are near me are no open because theirs no power for the battery to charge one hope that have is 
IS IT YOU THAT WOULD BE CALLIN ME AT MY # OR IF YOU CAN GIVE ME SOMEWHERE I COULD TALK WITH YOU OR MEET US,20-01-2010,si se nou ki ta relem sou nimewom oubyen si nou ta banm yon kote poum pale ave nou. Oubyen we nou.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,is it you that would be callin me at my or if you can give me somewhere could talk with you or meet us
Please help us we are hungry and thirsty in Siko if it goes on any longer we will all die.,20-01-2010,Tanpri pote nou sekou grangou ak swaf ap tiye nou nan siko prolonje mesi davans,direct,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,please help us we are hungry and thirsty in siko if it goes on any longer we will all die 
WE ARE IN THE STREET DOWN BY HAITIEN COAST GUARD NEXT TO EDH ( WISH IS THE ELECTRIC COMPANY ) THAT IS ON THE ROAD PLS SEND THE AUTHORITIY RESPOSABLE BECAUSE WE ARE IN THE STREET THANK YOU,20-01-2010,Nan kafou pi ba Garde cote Haitien a kote EDH ki sou rout ray la S. V. P di otorite ki respansab d yo pase we nou nan mitan lari a. MESI,direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are in the street down by haitien coast guard next to edh wish is the electric company that is on the road pls send the authoritiy resposable because we are in the street thank you
"Please! Please! In the church Saint Antoine ( St Anthony church ) located in Nazon ( Port-au-Prince in downtown ), in Impasse Medilien, ( Street or dead end street ) there are 100 people still trapped under the rubble. Please come and help us. Please in Nazon. ..",20-01-2010,"Tanpri! tanpri! Nan legliz saint antoine nan nazon, nan impasse medilien gen 100 moun anba dekonb la toujou tanpri vinn ede nou /please ! At nazon in t",direct,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,please please in the church saint antoine st anthony church located in nazon port au prince in downtown in impasse medilien street or dead end street there are people still trapped under the rubble please come and help us please in nazon 
PLEASE SEND A TECK IN OPTYON AN I FOR ME,20-01-2010,S. V. P voye teknik optyon plus la pou mwen,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,please send teck in optyon an for me
PLEASE!!! WE NEED FOOD WATER MEDICINE WE ARE IN MALIK IN THE ZONE OF BOSYE,20-01-2010,"tanpri nou bezwen manje, dlo ak medikaman, nou malik nan zon bosye.",direct,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,please we need food water medicine we are in malik in the zone of bosye
"We are in Leogane and we need food, water and medicine. We live in Ti Riviere Massone",20-01-2010,Nou leogane nou bezwen manje dlo medikaman tirivire masson nou abiti,direct,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are in leogane and we need food water and medicine we live in ti riviere massone
We need 2 or 3 tents. Please. Thank you!,20-01-2010,nou te ka fe nou jwen 2 ou 3 tants SVP MERCI,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we need or tents please thank you 
EYA WE ARE ASKING URGENT CARE FOR THE ELDERLY.,20-01-2010,eya. nou mande yon ede en ijans pou gran moun sa yo.,direct,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,eya we are asking urgent care for the elderly 
I'M IN FRONT OF THE EMBASSY CALL ME,20-01-2010,SE DEVAN ANBASADE LA MWEN YE CALL ME,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, in front of the embassy call me
mais gate treize village zao impasse a. .. help me it's salou,20-01-2010,mais gate treize village zao impasse a aide mwen se salou,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mais gate treize village zao impasse help me it salou
WE NEED HELP WE ARE STARVIN WE ARE IN GRAND GOAVE PLEASE,20-01-2010,Nou bezwen ed nan g nou grangou nan grangoav tanpri,direct,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,we need help we are starvin we are in grand goave please
"please, which cyber cafe is in service? no other information noted within text.",20-01-2010,Svp Ki cyber cafe ki an fonksyon?,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,please which cyber cafe is in service no other information noted within text 
self eplanatory. read text msg.,20-01-2010,"S. O. S we need drink and food ( sicot street, carrefour feuilles )",direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,self eplanatory read text msg 
"i would like for you to come to haiti, i've suffered too much, i cannot take it anymore, i have no internet where im at, write on the phone please",20-01-2010,Mwen ta renmen nou vini ayiti mwen soufri trop mwen pa kapab anko mwen pa gen net kote m rete a ekri sou telefon tanpri.,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0, would like for you to come to haiti ve suffered too much cannot take it anymore have no internet where im at write on the phone please
"we need help. water and food. Merger, on Leogane Road...Merger could also mean when the road merge.. not sure. ",20-01-2010,Nous avons besoin de l aide. De l eau et de la nouriture. Merger route de leogane,direct,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,we need help water and food merger on leogane road merger could also mean when the road merge not sure 
"we are at Avenue N, rue chili right by american base. we dont have any food",20-01-2010,"nou nan avenue N rue chili, bo baz americain nan. nou pa gen manje",direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are at avenue rue chili right by american base we dont have any food
"Goodday, there is a cybercafe that is available on Route National #1 near the corner of Vincent",20-01-2010,"Bonjou, gen yon cyber cafe ki disponib timidman nan menm zon nan menm adres la : wout nasyonal #1, antre kafou vensan zon bary f. Svp pa bliye nou nan b",direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,goodday there is cybercafe that is available on route national near the corner of vincent
We in the merge of the road of Leogane and St Antoine we need food and water,20-01-2010,Merger route de leogane route de st antoine. Besoin de l eau et la nouriture,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,we in the merge of the road of leogane and st antoine we need food and water
Request me minutes to ask for help,20-01-2010,( Demande ) Mwen minute poum mande sekou,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,request me minutes to ask for help
"Organization that are working in Haiti, I do not have any ways of taking care of my family here",20-01-2010,ganizasyon kap travay en ayiti paske mwen pa gen mwayen poum pran swen fanmim mesi.,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,organization that are working in haiti do not have any ways of taking care of my family here
"Should we crawl for you to help us in Cite Boston, route nationale #1. ..",20-01-2010,"Eske se ranpe pou nou ranpe pou dilijans lan fet. nou nan site boston wout nasyonal#1, vare",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,should we crawl for you to help us in cite boston route nationale 
I would like to know if the aid is for the people of Champds de Mars only because I am at Carrefour Fueille and I don't see anything serious going on because everything is on top of everything.,20-01-2010,Mwen ta remen konnen eske haid yo se pou mou ki chand mas yo ye sel man paske mwen nan carfou feiul mwen pa we ayen serie paske tou pagay monte tet ng,direct,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, would like to know if the aid is for the people of champds de mars only because am at carrefour fueille and don see anything serious going on because everything is on top of everything 
"Lizon 41, area lower Figye, Bon repos ( la plaine ) we don't have any money, nor food. Please help us",20-01-2010,"Lizon 41, zone anba figye, Bon Repos ( La Plaine ), nou pa gen lajan ni manje, val chak swa. svp ede nou",direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,lizon area lower figye bon repos la plaine we don have any money nor food please help us
thank you for the follow up you will give this message and it is important that I tell you that I,20-01-2010,Mesi pou swivi nou pral bay a mesaj sa a e li enpotan pou diw ke : m,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thank you for the follow up you will give this message and it is important that tell you that 
bandits who come to Port-au-prince,20-01-2010,des bandits qui viennent de Port-au-prince. Merci Sanderson,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bandits who come to port au prince
